seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,block_index,on_boundary
1234,0,dyck,True,1.0,0,,,32,8,25,,
1234,1,dyck,False,0.0,1,unclosed,43,32,8,27,,
1234,2,dyck,True,1.0,0,,,32,5,25,,
1234,3,dyck,True,1.0,0,,,32,6,31,,
1234,4,dyck,True,1.0,0,,,32,8,31,,
1234,5,dyck,True,1.0,0,,,32,6,21,,
1234,6,dyck,True,1.0,0,,,32,5,11,,
1234,7,dyck,True,1.0,0,,,32,7,27,,
1234,8,dyck,True,1.0,0,,,32,7,31,,
1234,9,dyck,True,1.0,0,,,32,8,29,,
1234,10,dyck,True,1.0,0,,,32,6,29,,
1234,11,dyck,True,1.0,0,,,32,5,23,,
1234,12,dyck,True,1.0,0,,,32,7,27,,
1234,13,dyck,True,1.0,0,,,32,6,13,,
1234,14,dyck,True,1.0,0,,,32,5,15,,
1234,15,dyck,True,1.0,0,,,32,6,15,,
1234,16,dyck,True,1.0,0,,,32,8,31,,
1234,17,dyck,True,1.0,0,,,32,8,27,,
1234,18,dyck,True,1.0,0,,,32,7,31,,
1234,19,dyck,True,1.0,0,,,32,5,27,,
1234,20,dyck,True,1.0,0,,,32,6,29,,
1234,21,dyck,True,1.0,0,,,32,8,29,,
1234,22,dyck,True,1.0,0,,,32,5,11,,
1234,23,dyck,True,1.0,0,,,32,7,19,,
1234,24,dyck,True,1.0,0,,,32,8,27,,
1234,25,dyck,True,1.0,0,,,32,8,19,,
1234,26,dyck,False,0.0,1,unexpected_closing,44,32,8,31,,
1234,27,dyck,True,1.0,0,,,32,5,21,,
1234,28,dyck,True,1.0,0,,,32,6,27,,
1234,29,dyck,True,1.0,0,,,32,4,11,,
1234,30,dyck,True,1.0,0,,,32,7,27,,
1234,31,dyck,True,1.0,0,,,32,5,11,,
1234,32,dyck,True,1.0,0,,,32,6,27,,
1234,33,dyck,True,1.0,0,,,32,8,31,,
1234,34,dyck,True,1.0,0,,,32,8,25,,
1234,35,dyck,True,1.0,0,,,32,7,27,,
1234,36,dyck,True,1.0,0,,,32,8,31,,
1234,37,dyck,True,1.0,0,,,32,7,31,,
1234,38,dyck,False,0.0,1,unclosed,212,32,8,31,,
1234,39,dyck,True,1.0,0,,,32,8,29,,
1234,40,dyck,True,1.0,0,,,32,8,23,,
1234,41,dyck,True,1.0,0,,,32,8,25,,
1234,42,dyck,True,1.0,0,,,32,8,29,,
1234,43,dyck,True,1.0,0,,,32,5,17,,
1234,44,dyck,True,1.0,0,,,32,8,29,,
1234,45,dyck,True,1.0,0,,,32,8,27,,
1234,46,dyck,True,1.0,0,,,32,6,29,,
1234,47,dyck,True,1.0,0,,,32,8,31,,
1234,48,dyck,True,1.0,0,,,32,8,31,,
1234,49,dyck,True,1.0,0,,,32,8,31,,
1234,50,dyck,True,1.0,0,,,32,8,31,,
1234,51,dyck,True,1.0,0,,,32,6,17,,
1234,52,dyck,True,1.0,0,,,32,6,29,,
1234,53,dyck,True,1.0,0,,,32,8,25,,
1234,54,dyck,True,1.0,0,,,32,8,27,,
1234,55,dyck,True,1.0,0,,,32,8,25,,
1234,56,dyck,True,1.0,0,,,32,8,25,,
1234,57,dyck,True,1.0,0,,,32,8,29,,
1234,58,dyck,False,0.0,1,unclosed,105,32,6,19,,
1234,59,dyck,True,1.0,0,,,32,8,25,,
1234,60,dyck,True,1.0,0,,,32,8,27,,
1234,61,dyck,True,1.0,0,,,32,8,31,,
1234,62,dyck,True,1.0,0,,,32,7,19,,
1234,63,dyck,True,1.0,0,,,32,8,29,,
2025,0,dyck,True,1.0,0,,,32,6,27,,
2025,1,dyck,True,1.0,0,,,32,7,15,,
2025,2,dyck,True,1.0,0,,,32,8,31,,
2025,3,dyck,True,1.0,0,,,32,4,27,,
2025,4,dyck,True,1.0,0,,,32,5,31,,
2025,5,dyck,True,1.0,0,,,32,8,31,,
2025,6,dyck,True,1.0,0,,,32,8,31,,
2025,7,dyck,False,0.0,1,unclosed,224,32,8,31,,
2025,8,dyck,True,1.0,0,,,32,5,25,,
2025,9,dyck,True,1.0,0,,,32,8,27,,
2025,10,dyck,True,1.0,0,,,32,8,31,,
