seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,vae_nll_per_token,vae_ppl,block_index,on_boundary
1234,0,dyck,False,0.0,18,unclosed,6,64,8,57,,,0,False
1234,1,dyck,False,0.0,30,unclosed,26,64,7,37,,,0,False
1234,2,dyck,False,0.0,2,unexpected_closing,158,64,8,55,,,1,False
1234,3,dyck,False,0.0,26,unclosed,14,64,8,49,,,0,False
1234,4,dyck,False,0.0,24,unclosed,0,64,8,63,,,0,False
1234,5,dyck,False,0.0,22,unclosed,2,64,6,25,,,0,False
1234,6,dyck,False,0.0,2,unexpected_closing,92,64,6,13,,,1,False
1234,7,dyck,False,0.0,6,unclosed,4,64,8,59,,,0,False
1234,8,dyck,False,0.0,67,unclosed,20,64,8,43,,,0,False
1234,9,dyck,False,0.0,8,unclosed,0,64,8,63,,,1,False
1234,10,dyck,False,0.0,13,unclosed,6,64,8,49,,,0,False
1234,11,dyck,False,0.0,15,unclosed,6,64,8,37,,,0,False
1234,12,dyck,False,0.0,28,unclosed,0,64,8,63,,,0,False
1234,13,dyck,False,0.0,18,unclosed,0,64,6,27,,,0,False
1234,14,dyck,False,0.0,2,unexpected_closing,138,64,8,41,,,1,False
1234,15,dyck,False,0.0,6,unclosed,32,64,8,47,,,0,False
1234,16,dyck,False,0.0,8,unclosed,0,64,8,63,,,0,False
1234,17,dyck,False,0.0,24,unclosed,0,64,8,63,,,0,False
1234,18,dyck,False,0.0,1,unclosed,122,64,8,39,,,0,False
1234,19,dyck,False,0.0,26,unclosed,0,64,8,63,,,0,False
1234,20,dyck,False,0.0,17,unclosed,0,64,8,63,,,1,False
1234,21,dyck,False,0.0,24,unclosed,12,64,8,51,,,0,False
1234,22,dyck,False,0.0,16,unexpected_closing,44,64,8,57,,,0,False
1234,23,dyck,False,0.0,3,unclosed,341,64,8,59,,,0,False
1234,24,dyck,False,0.0,102,unclosed,0,64,8,63,,,0,False
1234,25,dyck,False,0.0,6,unclosed,8,64,8,55,,,1,True
1234,26,dyck,False,0.0,18,unclosed,6,64,8,55,,,0,False
1234,27,dyck,False,0.0,38,unclosed,0,64,8,63,,,0,False
1234,28,dyck,False,0.0,28,unclosed,0,64,8,63,,,0,False
1234,29,dyck,False,0.0,4,unclosed,0,64,8,63,,,,False
1234,30,dyck,False,0.0,12,unclosed,8,64,8,55,,,0,False
1234,31,dyck,False,0.0,7,unclosed,20,64,7,29,,,1,False
1234,32,dyck,False,0.0,8,unclosed,0,64,8,63,,,0,False
1234,33,dyck,False,0.0,19,unclosed,6,64,8,57,,,0,False
1234,34,dyck,False,0.0,18,unclosed,2,64,8,61,,,0,False
1234,35,dyck,False,0.0,16,unclosed,0,64,8,63,,,0,False
1234,36,dyck,False,0.0,30,unclosed,12,64,8,51,,,0,False
1234,37,dyck,False,0.0,40,unclosed,22,64,8,41,,,0,False
1234,38,dyck,False,0.0,17,unclosed,2,64,8,61,,,0,False
1234,39,dyck,False,0.0,24,unclosed,4,64,8,59,,,0,False
1234,40,dyck,False,0.0,26,unclosed,4,64,8,59,,,0,False
1234,41,dyck,False,0.0,16,unexpected_closing,85,64,8,33,,,0,False
1234,42,dyck,False,0.0,12,unclosed,0,64,8,63,,,1,False
1234,43,dyck,False,0.0,32,unclosed,20,64,8,43,,,0,False
1234,44,dyck,False,0.0,25,unclosed,0,64,8,45,,,0,False
1234,45,dyck,False,0.0,6,unclosed,0,64,6,63,,,1,False
1234,46,dyck,False,0.0,10,unclosed,0,64,8,63,,,1,False
1234,47,dyck,False,0.0,12,unclosed,0,64,8,63,,,0,False
1234,48,dyck,False,0.0,28,unclosed,22,64,7,41,,,0,False
1234,49,dyck,False,0.0,47,unclosed,0,64,8,63,,,0,False
1234,50,dyck,False,0.0,31,unclosed,0,64,8,63,,,0,False
1234,51,dyck,False,0.0,7,unclosed,42,64,8,63,,,1,False
1234,52,dyck,False,0.0,6,unexpected_closing,180,64,6,31,,,2,False
1234,53,dyck,False,0.0,32,unclosed,2,64,8,61,,,0,False
1234,54,dyck,False,0.0,1,unclosed,0,64,8,63,,,,False
1234,55,dyck,False,0.0,26,unclosed,0,64,8,63,,,0,False
1234,56,dyck,False,0.0,20,unclosed,12,64,8,51,,,1,False
1234,57,dyck,False,0.0,30,unclosed,2,64,8,57,,,1,False
1234,58,dyck,False,0.0,6,unexpected_closing,148,64,6,43,,,0,False
1234,59,dyck,False,0.0,11,unclosed,39,64,8,35,,,0,False
1234,60,dyck,False,0.0,40,unclosed,12,64,8,51,,,0,False
1234,61,dyck,False,0.0,40,unclosed,6,64,8,57,,,0,False
1234,62,dyck,False,0.0,30,unclosed,4,64,8,45,,,0,False
1234,63,dyck,False,0.0,3,unclosed,2,64,6,25,,,0,False
1234,64,dyck,False,0.0,12,unclosed,0,64,8,63,,,0,False
1234,65,dyck,False,0.0,13,unexpected_closing,39,64,8,47,,,0,False
1234,66,dyck,False,0.0,4,unexpected_closing,29,64,8,47,,,0,False
