seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,block_index,on_boundary
1234,0,structured,False,0.0,,parse_error,0,,,,,
1234,1,structured,False,0.0,,parse_error,5,,,,,
1234,2,structured,False,0.0,,parse_error,29,,,,,
1234,3,structured,False,0.0,,parse_error,11,,,,,
1234,4,structured,False,0.0,,parse_error,9,,,,,
1234,5,structured,False,0.0,,parse_error,10,,,,,
1234,6,structured,False,0.0,,parse_error,11,,,,,
1234,7,structured,False,0.0,,parse_error,5,,,,,
1234,8,structured,False,0.0,,parse_error,10,,,,,
1234,9,structured,False,0.0,,parse_error,9,,,,,
1234,10,structured,False,0.0,,parse_error,0,,,,,
1234,11,structured,False,0.0,,parse_error,11,,,,,
1234,12,structured,False,0.0,,parse_error,9,,,,,
1234,13,structured,False,0.0,,parse_error,11,,,,,
1234,14,structured,False,0.0,,parse_error,13,,,,,
1234,15,structured,False,0.0,,parse_error,30,,,,,
