seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,vae_nll_per_token,vae_ppl,block_index,on_boundary
1234,0,dyck,True,1.0,0,,,64,8,57,0.1157548725605011,1.12272062876678,,
1234,1,dyck,True,1.0,0,,,64,7,37,0.017115959897637367,1.0172632772315873,,
1234,2,dyck,False,0.0,1,unexpected_closing,62,64,8,55,0.47154152393341064,1.6024625245666577,,
1234,3,dyck,True,1.0,0,,,64,8,49,0.07194678485393524,1.0745981576443153,,
1234,4,dyck,True,1.0,0,,,64,8,63,0.17733736336231232,1.1940338484597033,,
1234,5,dyck,True,1.0,0,,,64,6,25,0.0024215257726609707,1.00242446003418,,
1234,6,dyck,True,1.0,0,,,64,6,13,0.24253985285758972,1.2744820399025698,,
1234,7,dyck,True,1.0,0,,,64,8,59,0.0015688072890043259,1.0015700385109252,,
1234,8,dyck,False,0.0,1,unclosed,20,64,8,43,0.3913618326187134,1.4789935647223853,,
1234,9,dyck,True,1.0,0,,,64,8,63,0.007182361092418432,1.0072082161108087,,
1234,10,dyck,True,1.0,0,,,64,8,49,0.0005010247696191072,1.0005011503034933,,
1234,11,dyck,True,1.0,0,,,64,8,37,0.13939429819583893,1.1495772869025485,,
1234,12,dyck,True,1.0,0,,,64,8,63,0.0070502543821930885,1.0070751659354702,,
1234,13,dyck,True,1.0,0,,,64,6,27,0.0032733094412833452,1.0032786725687612,,
1234,14,dyck,False,0.0,1,unclosed,22,64,8,41,0.9364797472953796,2.5509854800955067,,
1234,15,dyck,True,1.0,0,,,64,8,47,0.0025587331037968397,1.0025620094551855,,
1234,16,dyck,True,1.0,0,,,64,8,63,0.12782670557498932,1.1363560614628656,,
1234,17,dyck,True,1.0,0,,,64,8,63,0.0042829252779483795,1.0042921101103857,,
1234,18,dyck,True,1.0,0,,,64,8,39,0.0917014554142952,1.0960375571532444,,
1234,19,dyck,True,1.0,0,,,64,8,63,0.20170769095420837,1.2234903185484074,,
1234,20,dyck,True,1.0,0,,,64,8,63,0.09515846520662308,1.0998331266014134,,
